"","document","topic","gamma"
"412","Call of the West ",1,0.000297779837619602
"413","Captain Eager and the Mark of Voth ",1,0.000202973821674584
"414","Charlie and the Talking Buzzard ",1,0.000374259676169906
"415","Chile: The Other 9/11 ",1,0.000220526412496897
"416","Circle of Fury ",1,0.00025985094296195
"417","Code of the Cactus ",1,0.000374259676169892
"418","Code of the Lawless ",1,0.000188009392263244
"419","Command & Conquer: Red Alert 3 - Uprising ",1,0.000211386370599058
"420","Company of Heroes: Opposing Fronts ",1,0.000306734272636951
"421","Compton: The Antwon Ross Story ",1,0.000403898124700782
"422","Courage of the West ",1,0.000348673654518565
"423","Dale Evans: Queen of the West ",1,0.000225399384709224
"424","Daredevils of the West ",1,7.65483534269918e-05
"425","Days of Buffalo Bill ",1,0.000175099986662458
"426","Deadly Arsenal ",1,0.000181325209363136
"427","Deathbone, Third Blood Part VII: The Blood of Deathbone ",1,0.000361013895720697
"428","Desperate Action ",1,0.000119646359148788
"429","Dragons of Camelot ",1,0.00014944619460431
"430","Dreamer in the Falls ",1,0.000348673654518537
"431","Earth Metal I: Epic of Manas ",1,0.000151668277267477
"432","Empire of Danger ",1,0.00024140217664902
"433","Enter the Cage ",1,0.000289333383436133
"434","Eve & the Bigger Apple ",1,0.00021138637059906
"435","Extraction Day ",1,0.000207094698238178
"436","Fade to Winter ",1,0.000111779633313968
"437","Fame and Fortune ",1,0.000178158234014256
"438","Fantastic Movie Trailers: More of the Best! ",1,0.000316243935177591
"439","Faron: The Prophecy ",1,0.000306734272636939
"440","Fingerprints of the Flood ",1,0.000169288022382417
"441","FluffyMarioBros The Movie 2: Universal Course ",1,0.000316243935177587
"442","For the Love of Penny Whistler ",1,0.998266887393459
"443","Foreign Prosecution Unit ",1,0.000348673654518579
"444","From These Ashes ",1,0.34139231711234
"445","Georgian Edinburgh: Tales of the New Town ",1,0.000151668277267485
"446","Ghost of Tsushima ",1,0.000259850942961961
"447","Girl from the West ",1,0.000403898124700757
"448","Grand Auto Theft: L.A. ",1,0.000259850942961953
"449","Guardians of the Wild ",1,0.000348673654518568
"450","Hit the Ground Running ",1,0.000202973821674593
"451","Homesteaders of Paradise Valley ",1,0.000273800794750857
"452","Hometown Sports Retrospective: 20 Years of High School Football in Sacramento County ",1,0.000326362118537627
"453","I'm a Physicist at CERN and We've Done Something We Shouldn't Have ",1,0.000273800794750859
"454","Immortal Fist: The Legend of Wing Chun ",1,0.000161259187089059
"455","Impossible Is Just an Opinion: Lincoln City Season Review 16/17 ",1,0.000153957436597592
"456","Into the Badlands ",1,0.000438634562333103
"457","Jack and the Beanstalk ",1,0.000479908081908911
"458","Jemiyah Jones & the Vampyre Ghost Ship ",1,0.000361013895720707
"459","Jimmy Valiant: Scions of Danger ",1,0.000361013895720705
"460","Kcor the Warrior ",1,0.000156316756342511
"461","King of the Bullwhip ",1,0.00019901374408303
"462","King of the Fists ",1,0.000374259676169891
"463","King of the Game ",1,0.000388514466312622
"464","Land and Live in the Jungle ",1,0.000348673654518568
"465","Land of the Outlaws ",1,0.000181325209363142
"466","Last of the Duanes ",1,0.000253395822602552
"467","Law of the North ",1,0.000337149161893254
"468","Law of the Northwest ",1,0.000163849487592437
